Name	Start	End
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	43
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	44
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	45
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	46
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	47
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	48
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	49
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	21	50
polyA	22	40
polyA	22	40
polyA	22	40
polyA	22	40
polyA	22	40
polyA	22	40
polyA	22	40
polyA	22	41
polyA	22	41
polyA	22	41
polyA	22	41
polyA	22	41
polyA	22	41
polyA	22	41
polyA	22	41
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	42
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	43
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	44
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	45
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	46
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	47
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	48
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	49
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	50
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	22	51
polyA	23	40
polyA	23	40
polyA	23	40
polyA	23	40
polyA	23	40
polyA	23	40
polyA	23	40
polyA	23	41
polyA	23	41
polyA	23	41
polyA	23	41
polyA	23	41
polyA	23	41
polyA	23	41
polyA	23	41
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	42
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	43
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	44
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	45
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	46
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	47
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	48
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	49
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	50
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	51
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	23	52
polyA	24	40
polyA	24	40
polyA	24	40
polyA	24	40
polyA	24	40
polyA	24	40
polyA	24	40
polyA	24	40
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	41
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	42
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	43
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	44
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	45
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	46
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	47
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	48
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	49
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	50
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	51
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	52
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	24	53
polyA	25	39
polyA	25	39
polyA	25	39
polyA	25	39
polyA	25	39
polyA	25	39
polyA	25	39
polyA	25	40
polyA	25	40
polyA	25	40
polyA	25	40
polyA	25	40
polyA	25	40
polyA	25	40
polyA	25	40
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	41
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	42
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	43
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	44
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	45
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	46
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	47
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	48
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	49
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	50
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	51
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	52
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	53
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	25	54
polyA	26	39
polyA	26	39
polyA	26	39
polyA	26	39
polyA	26	39
polyA	26	39
polyA	26	39
polyA	26	39
polyA	26	40
polyA	26	40
polyA	26	40
polyA	26	40
polyA	26	40
polyA	26	40
polyA	26	40
polyA	26	40
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	41
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	42
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	43
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	44
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	45
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	46
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	47
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	48
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	49
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	50
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	51
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	52
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	53
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	54
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
polyA	26	55
